,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
118,HS-4,怀黍离,2024-02-01 16:00:00+08:00,12,39437,异铁,35047,0.441083246697264,0.036756937224772,27.205748778384592,酮凝集,17395,0.441083246697264,0.036756937224772,27.205748778384592,17500.952675188048
110,IS-7,叙拉古人・复刻,2023-10-22 16:00:00+08:00,15,78345,装置,65185,0.5526070585231987,0.03684047056821325,27.144061532775904,酮凝集,43294,0.5526070585231987,0.03684047056821325,27.144061532775904,43458.938856201275
127,BB-3,巴别塔,2024-04-11 16:00:00+08:00,12,32273,异铁,28624,0.44225823443745543,0.03685485286978795,27.13346878722063,酮凝集,14273,0.44225823443745543,0.03685485286978795,27.13346878722063,14321.785269831476
139,AS-5,太阳甩在身后,2024-08-01 16:00:00+08:00,12,47520,异铁,42129,0.44276094276094274,0.03689674523007856,27.102661596958175,酮凝集,21040,0.44276094276094274,0.03689674523007856,27.102661596958175,21087.944598345108
85,SN-5,愚人号・复刻,2023-04-20 16:00:00+08:00,12,64895,异铁,57601,0.443470221126435,0.03695585176053625,27.059314083185658,酮凝集,28779,0.443470221126435,0.03695585176053625,27.059314083185658,28798.446227053995
112,RS-5,银心湖列车,2023-12-05 16:00:00+08:00,12,3665472,固源岩,6109303,0.44373166675396786,0.03697763889616399,27.04337080060941,酮凝集,1626486,0.44373166675396786,0.03697763889616399,27.04337080060941,1626626.061927299
131,CW-5,孤星・复刻,2024-05-24 16:00:00+08:00,12,25635,异铁,22729,0.44447045055588064,0.037039204212990055,26.998420221169035,酮凝集,11394,0.44447045055588064,0.037039204212990055,26.998420221169035,11376.040820256247
72,IS-7,叙拉古人,2022-11-01 16:00:00+08:00,15,59374,装置,49239,0.5556135682285175,0.03704090454856783,26.997180878474648,酮凝集,32989,0.5556135682285175,0.03704090454856783,26.997180878474648,32935.49091388212
89,CW-5,孤星,2023-05-01 16:00:00+08:00,12,68842,异铁,61251,0.44526597135469625,0.03710549761289136,26.95018432127361,酮凝集,30653,0.44526597135469625,0.03710549761289136,26.95018432127361,30550.00593516991
92,HE-4,空想花庭,2023-06-08 16:00:00+08:00,12,65802,聚酸酯,73104,0.4457007385793745,0.03714172821494787,26.92389525368249,酮凝集,29328,0.4457007385793745,0.03714172821494787,26.92389525368249,29200.94550631955
136,HE-4,空想花庭・复刻,2024-06-25 16:00:00+08:00,12,29785,聚酸酯,33026,0.4459963068658721,0.03716635890548934,26.906052393857273,酮凝集,13284,0.4459963068658721,0.03716635890548934,26.906052393857273,13217.685813588156
134,BP-3,生路,2024-06-05 16:00:00+08:00,12,38309,异铁,34091,0.44650082226108745,0.03720840185509062,26.87565039462146,酮凝集,17105,0.44650082226108745,0.03720840185509062,26.87565039462146,17000.3802529041
53,SN-5,愚人号,2022-05-01 16:00:00+08:00,12,5783,异铁,5119,0.45322496973888987,0.03776874747824082,26.476917207172836,酮凝集,2621,0.45322496973888987,0.03776874747824082,26.476917207172836,2566.321203961064
32,MN-4,玛莉娅・临光・复刻,2021-10-01 16:00:00+08:00,12,40,糖,44,0.15,0.012499999999999999,80.0,装置,6,0.15,0.012499999999999999,80.0,13.256174714777682
